AQI,o3,pm10
30.2,55.789948,10.486722
28.2,54.93164,10.719325
26.6,54.64554,11.155578
25,55.07469,11.116206
26,55.789948,10.40525
26,56.505203,9.402518
26,55.789948,8.482822
24,52.928925,7.5866675
23,50.0679,7.6365867
24,51.498413,8.487648
25,53.64418,9.357371
26,55.789948,10.338728
27,59.366226,10.5233135
29,62.22725,10.63597
29,62.942505,9.964803
29,62.942505,9.214411
29,62.22725,8.772117
28,60.796738,8.753794
27,59.366226,8.807467
27,58.65097,8.77486
27,58.65097,8.675813
27,57.935715,8.91592
27,57.935715,9.227945
27,58.65097,9.49179
27,59.366226,9.907828
28,61.511993,10.095885
29,63.65776,9.879244
31,66.51878,9.503339
31,67.949295,9.008138
32,68.66455,8.729765
32,68.66455,8.912433
31,67.23404,9.3376875
31,66.51878,9.351754
30,65.80353,8.640116
30,64.37302,7.750329
29,62.22725,6.815522
27,59.366226,6.9653473
26,56.505203,7.022172
25,55.07469,6.9463325
25,53.64418,6.8342905
24,52.928925,6.6867456
24,52.928925,7.5935626
25,53.64418,8.999838
25,53.64418,11.022134
25,54.359436,12.198974
26,55.789948,11.969586
26,57.22046,9.593794
27,57.935715,7.763611
27,58.65097,7.517936
27,58.65097,8.041439
27,59.366226,8.654108
28,60.081482,8.514708
28,60.081482,7.923108
27,59.366226,7.097172
27,58.65097,6.81578
26,57.22046,7.661589
25,54.359436,8.718614
23,50.783157,8.457276
22,47.922134,7.1849914
21,45.41874,6.950173
20,43.988228,7.205668
19,41.84246,7.8984804
19,41.484833,8.744758
20,43.272972,9.623435
21,45.41874,10.253539
21,45.41874,10.703334
21,45.41874,10.663057
22,47.20688,10.423121
24,52.21367,11.240661
26,56.505203,12.098125
27,59.366226,12.845977
28,60.796738,12.583639
