Date,Price
2021-01-01,50081
2021-01-04,51349
2021-01-05,51456
2021-01-06,50545
2021-01-07,50918
2021-01-08,49035
2021-01-11,49386
2021-01-12,49098
2021-01-13,49354
2021-01-14,49238
2021-01-15,48745
2021-01-18,48918
2021-01-19,49011
2021-01-20,49528
2021-01-21,49418
2021-01-22,49131
2021-01-25,49144
2021-01-27,48879
2021-01-28,48672
2021-01-29,49111
2021-02-01,48424
2021-02-02,47752
2021-02-03,47703
2021-02-04,46695
2021-02-05,46978
2021-02-08,47726
2021-02-09,47818
2021-02-10,47863
2021-02-11,47377
2021-02-12,47169
2021-02-15,47118
2021-02-16,46777
2021-02-17,46134
2021-02-18,46046
2021-02-19,46095
2021-02-22,46782
2021-02-23,46632
2021-02-24,46369
2021-02-25,46085
2021-02-26,45569
2021-03-01,45021
2021-03-02,45224
2021-03-03,44721
2021-03-04,44581
2021-03-05,44442
2021-03-08,44233
2021-03-09,44844
2021-03-10,44774
2021-03-11,44876
2021-03-12,44737
2021-03-15,44906
2021-03-16,44820
2021-03-17,44848
2021-03-18,44942
2021-03-19,45008
2021-03-22,44885
2021-03-23,44636
2021-03-24,44841
2021-03-25,44726
2021-03-26,44629
2021-03-29,43754
2021-03-30,43941
2021-03-31,44418
2021-04-01,44957
2021-04-05,44985
2021-04-06,45685
2021-04-07,46128
2021-04-08,46576
2021-04-09,46344
2021-04-12,46188
2021-04-13,46674
2021-04-14,46317
2021-04-15,46881
2021-04-16,47022
2021-04-19,47084
2021-04-20,47498
2021-04-21,47892
2021-04-22,47426
2021-04-23,47169
2021-04-26,47117
2021-04-27,46960
2021-04-28,46697
2021-04-29,46400
2021-04-30,46431
2021-05-03,46963
2021-05-04,46782
2021-05-05,46591
2021-05-06,47536
2021-05-07,47719
2021-05-10,47925
2021-05-11,47625
2021-05-12,47491
2021-05-13,47452
2021-05-14,47682
2021-05-17,48437
2021-05-18,48288
2021-05-19,48660
2021-05-20,48519
2021-05-21,48368
2021-05-24,48514
2021-05-25,48780
2021-05-26,48728
2021-05-27,48561
2021-05-28,48543
2021-05-31,48807
2021-06-01,48935
2021-06-02,49108
2021-06-03,48293
2021-06-04,48650
2021-06-07,48911
2021-06-08,48908
2021-06-09,48904
2021-06-10,48975
2021-06-11,48717
2021-06-14,48318
2021-06-15,48230
2021-06-16,48279
2021-06-17,46781
2021-06-18,46592
2021-06-21,46904
2021-06-22,46838
2021-06-23,46921
2021-06-24,46701
2021-06-25,46757
2021-06-28,46821
2021-06-29,46438
2021-06-30,46817
2021-07-01,46985
2021-07-02,47286
2021-07-05,47567
2021-07-06,47694
2021-07-07,47887
2021-07-08,47735
2021-07-09,47898
2021-07-12,47768
2021-07-13,47887
2021-07-14,48265
2021-07-15,48358
2021-07-16,48040
2021-07-19,48069
2021-07-20,47861
2021-07-21,47584
2021-07-22,47624
2021-07-23,47521
2021-07-26,47455
2021-07-27,47551
2021-07-28,47535
2021-07-29,48210
2021-07-30,47901
2021-08-02,47937
2021-08-03,47854
2021-08-04,47872
2021-08-05,47959
2021-08-06,46682
