saledate,MA
31/03/2007,421291
30/06/2007,421291
30/09/2007,421291
31/12/2007,421291
31/03/2008,416031
30/06/2008,419628
30/09/2008,423811
31/12/2008,426488
31/03/2009,437724
30/06/2009,444351
30/09/2009,449742
31/12/2009,457394
31/03/2010,466433
30/06/2010,474590
30/09/2010,483176
31/12/2010,491715
31/03/2011,498022
30/06/2011,503891
30/09/2011,507090
31/12/2011,507744
31/03/2012,507449
30/06/2012,507014
30/09/2012,506615
31/12/2012,506615
31/03/2013,506380
30/06/2013,505739
30/09/2013,505823
31/12/2013,506406
31/03/2014,508499
30/06/2014,512374
30/09/2014,516618
31/12/2014,522103
31/03/2015,528926
30/06/2015,534927
30/09/2015,542051
31/12/2015,549278
31/03/2016,556586
30/06/2016,564267
30/09/2016,572582
31/12/2016,581485
31/03/2017,590949
30/06/2017,601041
30/09/2017,609355
31/12/2017,615743
31/03/2018,619638
30/06/2018,622466
30/09/2018,624602
31/12/2018,626608
31/03/2019,628423
30/06/2019,630814
30/09/2019,631875
30/09/2007,518911
31/12/2007,518911
31/03/2008,518911
30/06/2008,518911
30/09/2008,518911
31/12/2008,518911
31/03/2009,518911
30/06/2009,518911
30/09/2009,523285
31/12/2009,522862
31/03/2010,524008
30/06/2010,535063
30/09/2010,538694
31/12/2010,555117
31/03/2011,550851
30/06/2011,547981
30/09/2011,539828
31/12/2011,530987
31/03/2012,540344
30/06/2012,537592
30/09/2012,548326
31/12/2012,555644
31/03/2013,566706
30/06/2013,580696
30/09/2013,581428
31/12/2013,586470
31/03/2014,583883
30/06/2014,583370
30/09/2014,598512
31/12/2014,598812
31/03/2015,599507
30/06/2015,602877
30/09/2015,603343
31/12/2015,612295
31/03/2016,617363
30/06/2016,622045
30/09/2016,616198
31/12/2016,610618
31/03/2017,606935
30/06/2017,605273
30/09/2017,606850
31/12/2017,604413
31/03/2018,604293
30/06/2018,603434
30/09/2018,603281
31/12/2018,601167
31/03/2019,605637
30/06/2019,599339
30/09/2019,597884
